t,rss,heapTotal,heapUsed,external,arrayBuffers
1898778.0629,63827968,16736256,12507240,2306317,75187
1899779.109746,63827968,16736256,12568400,2306477,75347
1900780.537467,63959040,16736256,12629440,2306637,75507
1901781.920098,63959040,16736256,12690600,2306797,75667
1902783.217189,64090112,16736256,12751616,2306957,75827
1903784.282278,64090112,16736256,12812776,2307117,75987
1904784.95793,64221184,16736256,12874024,2315469,84339
1905786.438794,63516672,16736256,12152728,2313517,82387
1906788.102372,63516672,16736256,12326272,2313677,82547
1907789.270287,63516672,16736256,12387432,2313837,82707
1908789.024232,63647744,16736256,12447944,2313985,82855
1909790.002532,63647744,16736256,12503840,2314141,83011
1910791.665797,63778816,16736256,12564856,2314301,83171
1911793.225482,63778816,16736256,12626016,2314461,83331
1912794.491106,63909888,16736256,12687032,2314621,83491
1913796.41095,63909888,16736256,12748248,2314781,83651
1914798.589681,64040960,16736256,12809264,2314941,83811
1915799.827665,64040960,16736256,12870424,2315101,83971
1916800.910517,64172032,16736256,12931440,2315261,84131
1917802.11795,64172032,16736256,12992632,2315421,84291
1918803.459514,63475712,16736256,12275232,2313499,82369
1919804.744088,63475712,16736256,12400960,2313659,82529
1920806.030999,63606784,16736256,12461976,2313819,82689
1921807.074782,63606784,16736256,12523136,2313979,82849
1922808.227388,63737856,16736256,12584248,2314139,83009
1923809.248097,63737856,16736256,12639720,2314283,83153
1924810.17245,63737856,16736256,12700680,2314443,83313
1925811.524345,63868928,16736256,12764872,2314603,83473
1926813.48797,63868928,16736256,12828536,2314763,83633
1927814.831077,64000000,16736256,12892016,2314923,83793
1928816.146292,64000000,16736256,12957792,2315083,83953
1929817.321514,64131072,16736256,13027064,2315243,84113
1930819.008388,64131072,16736256,13088080,2315403,84273
1931820.071502,64262144,16736256,13149240,2315563,84433
1932820.845496,64262144,17784832,12522888,2313643,82513
1933822.04625,64393216,17784832,12584048,2313803,82673
1934823.527838,64393216,17784832,12645064,2313963,82833
1935824.646935,64524288,17784832,12706248,2314123,82993
1936825.813269,64524288,17784832,12767264,2314283,83153
1937827.493964,64655360,17784832,12828424,2314443,83313
1938828.694325,64655360,17784832,12889440,2314603,83473
1939829.970032,64786432,17784832,12944760,2314747,83617
1940831.169227,64786432,17784832,13005760,2314907,83777
1941831.78238,64786432,17784832,13066920,2315067,83937
1942833.545319,64917504,17784832,13131608,2315227,84097
1943834.790081,64917504,17784832,13198736,2315387,84257
1944835.917871,65048576,17784832,13259768,2315547,84417
